,PRODUCT_MDM_CODE,OBJ_KEY,img_lst
60,1625278,592180_2,https://img.hrryzx.com/upload/1/2019/3/30/b81197f4-8471-479f-bc1a-8385cf35859e.jpg;https://img.hrryzx.com/upload/1/2019/3/30/f289b052-a866-410d-be3c-bbe18e4a1c89.jpg
61,1014703,551500_2,https://img.hrryzx.com/upload/1/2018/10/31/aaabbd8c-ac58-4c85-ae37-2d9cecbb5a69.JPG;https://img.hrryzx.com/upload/1/2018/10/31/c706e4f5-eec6-4a7e-9ce4-09af35486a50.JPG
62,1616910,588306_2,https://img.hrryzx.com/upload/1/2019/2/19/b2f21b47-9fc7-4853-807e-3e6a25c33df0.JPG;https://img.hrryzx.com/upload/1/2019/2/19/c74adea0-8884-41fb-951c-c33bd8114523.JPG
63,1117746,543463_2,https://img.hrryzx.com/upload/1/2019/7/18/4982f033-b3da-4680-b39d-20a6b6503345.jpg;https://img.hrryzx.com/upload/1/2019/7/18/2b08a2fd-cd41-480b-8fce-1a9aa8706536.jpg;https://img.hrryzx.com/upload/1/2019/7/18/3314dcf9-754c-49e1-95dd-ef049ddf2d58.jpg
64,1015512,556610_2,https://img.hrryzx.com/upload/1/2018/10/22/15a3756b-4d1a-4e02-bb9b-36b223170f32.jpg;https://img.hrryzx.com/upload/1/2018/10/22/f9fc6c7d-0db9-489f-a589-2940ca894303.jpg;https://img.hrryzx.com/upload/1/2018/10/22/ba8b69c7-6c6d-4a37-9a9b-b7b185f20f0e.jpg
65,1540249,567749_2,https://img.hrryzx.com/upload/1/2018/10/31/b4546c94-8486-4fef-a2e0-0e125b223de1.jpg;https://img.hrryzx.com/upload/1/2018/10/22/2b9b1375-14aa-49d5-b5b9-c2454ac3c856.JPG;https://img.hrryzx.com/upload/1/2018/10/22/85cdebe6-5433-44d9-b227-20a3ae84a514.JPG;https://img.hrryzx.com/upload/1/2018/10/22/dc2b3daf-b749-4e42-98e6-a1f7572c94f8.JPG
66,1514755,561691_2,https://img.hrryzx.com/upload/1/2018/10/31/54289fcc-bb7d-4c80-b17d-55b8111b7965.jpg;https://img.hrryzx.com/upload/1/2018/10/30/b315fffa-75e6-42c7-af85-3a8aafa3d15b.jpg
67,1150614,544765_2,1/2019/9/12/5cafc9e8-fec6-4e31-af5e-252a7e9ed837.jpg
68,1519222,562881_2,https://img.hrryzx.com/upload/1/2018/12/26/1dab97f9-853d-4260-b4b1-b69905900354.jpg;https://img.hrryzx.com/upload/1/2018/12/26/2e904182-6100-4f63-b2bd-6d613c9a24b4.jpg;https://img.hrryzx.com/upload/1/2018/12/26/2cbef2d7-498f-4c69-8ad0-453af7eeccbf.jpg;https://img.hrryzx.com/upload/1/2018/12/26/623e0ba8-fb29-4d55-a5d2-ff4c8341a761.jpg
69,1740835,606064_2,https://img.hrryzx.com/upload/1/2019/7/15/3d4cadef-bcf2-4868-bb31-515b1a2f4b30.jpg;https://img.hrryzx.com/upload/1/2019/7/15/fe7b14fb-c83d-4606-b611-a93e65a885f6.jpg;https://img.hrryzx.com/upload/1/2019/7/15/1e83c183-4823-40a7-8b76-26596c8a43c5.jpg;https://img.hrryzx.com/upload/1/2019/2/19/f214b617-fe1e-45a2-a988-8e845f16f697.JPG;https://img.hrryzx.com/upload/1/2019/2/19/32c1f6e1-fe61-49db-8164-4e06b5f6eebd.JPG
